Investigation.Type,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status,Year,Model_clean
Accident,06/02/2016,"Linden, NJ",United States,Non-Fatal,Substantial,N206R,BELL,bell,No,Turbo Shaft,Turbo Shaft,Instructional,0,0,1,1,vmc,Unknown,"The pilot receiving instruction's failure to maintain helicopter control during the initial takeoff, which resulted in a dynamic rollover. Contributing to the accident was the flight instructor's inadequate remedial action due to his distraction by looking outside the helicopter to ensure that the area was clear.",2016,bell
Accident,23/06/2004,"SPRINGFIELD, OH",United States,Non-Fatal,Substantial,N65612,Cessna,cessna,No,Reciprocating,Reciprocating,Instructional,0,0,0,1,vmc,Takeoff,Probable Cause,2004,cessna
Accident,18/08/1984,"PALO ALTO, CA",United States,Non-Fatal,Substantial,N8424J,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Cruise,Probable Cause,1984,cessna
Accident,02/06/2022,"Burlington, WI",United States,Serious,Substantial,N65009,CAMERON BALLOONS,cameron balloons,No,Unknown,Unknown,Business,0,0,3,0,vmc,Unknown,Unknown,2022,cameron balloons
Accident,30/03/2019,"Castel Viscardo, Italy",Italy,Fatal,Destroyed,I-DRAW,MORAVAN,moravan,No,Unknown,Unknown,Unknown,1,0,0,0,UNK,Unknown,Unknown,2019,moravan
Accident,08/02/1994,"KWIGILLINGOK, AK",United States,Non-Fatal,Substantial,N6470H,Cessna,cessna,No,Reciprocating,Reciprocating,Unknown,0,0,0,6,vmc,Approach,Probable Cause,1994,cessna
Accident,08/12/1997,"MILWAUKEE, WI",United States,Non-Fatal,Substantial,N728QA,Cessna,cessna,No,Reciprocating,Reciprocating,Unknown,0,0,0,1,imc,Approach,Probable Cause,1997,cessna
Accident,31/12/1996,"KEY BISCAYNE, FL",United States,Non-Fatal,Substantial,N91036,Pacheco,pacheco,Yes,Reciprocating,Reciprocating,Personal,0,0,1,0,vmc,Landing,Probable Cause,1996,pacheco
Incident,16/05/1988,"ALLENTOWN, PA",United States,Incident,Minor,N81SH,Cessna,cessna,No,Turbo Fan,Turbo Fan,Business,0,0,0,5,vmc,Cruise,Probable Cause,1988,cessna
Incident,09/06/2005,"Boston, MA",United States,Incident,Unknown,EI-ORD,Airbus Industrie,airbus industrie,No,Turbo Fan,Turbo Fan,Unknown,0,0,0,448,vmc,Takeoff,Probable Cause,2005,airbus industrie
Accident,08/07/2014,"Baytown, TX",United States,Non-Fatal,Substantial,N3732R,CESSNA,cessna,No,Reciprocating,Reciprocating,Personal,0,0,3,0,vmc,Unknown,"The pilots failure to verify the fuel onboard before the flight, which resulted in a total loss of engine power due to fuel exhaustion.",2014,cessna
Accident,05/02/2014,"Memphis, TN",United States,Non-Fatal,Substantial,N802HK,EMBRAER,embraer,No,Turbo Jet,Turbo Jet,Unknown,0,0,0,44,imc,Unknown,the failure of the flight crew to adequately monitor the system for proper operation and manually activate the system during the flight in icing conditions. Contributing to the accident was the crew's limited training on the manual operation of the anti-ice system and the nonactivation of the automatic ice detection system for reasons that could not be determined.,2014,embraer
Accident,01/04/1984,"SIMSBURY, CT",United States,Non-Fatal,Substantial,N18871,Beech,beech,No,Reciprocating,Reciprocating,Instructional,0,0,0,2,vmc,Landing,Probable Cause,1984,beech
Accident,15/03/1988,"BUTLER, AL",United States,Non-Fatal,Substantial,N78840,Cessna,cessna,No,Reciprocating,Reciprocating,Aerial Observation,0,0,0,1,vmc,Maneuvering,Probable Cause,1988,cessna
Accident,14/01/2009,"Crane Island, San Juan Is., WA",United States,Non-Fatal,Substantial,N9428G,CESSNA,cessna,No,Reciprocating,Reciprocating,Positioning,0,0,0,1,vmc,Unknown,The pilot's failure to maintain directional control during landing. Contributing to the accident was the pilot's improper application of brakes.,2009,cessna
Accident,18/08/2012,"Sunburst, MT",United States,Non-Fatal,Substantial,N3939A,AMERICAN EUROCOPTER LLC,american eurocopter llc,No,Turbo Shaft,Turbo Shaft,Public Aircraft - Federal,0,0,0,2,vmc,Unknown,"The improper installation of the engine-to-main gearbox flex coupling, which resulted in the failure of the flex coupling and a loss of power to the rotor system during takeoff. 
",2012,american eurocopter llc
Accident,29/06/2016,"Frederick, MD",United States,Non-Fatal,Substantial,N2473G,CESSNA,cessna,No,Reciprocating,Reciprocating,Instructional,0,0,0,1,vmc,Unknown,"The student pilot's failure to maintain pitch control during the touch down resulting in a bounced landing, subsequent hard landing and substantial damage to the firewall.",2016,cessna
Accident,31/01/2003,"WEST PLAINS, MO",United States,Non-Fatal,Substantial,N27AE,Bell,bell,No,Turbo Shaft,Turbo Shaft,Instructional,0,0,0,2,vmc,Landing,Probable Cause,2003,bell
Accident,29/09/2013,"Santa Teresa, NM",United States,Non-Fatal,Substantial,N3078F,CESSNA,cessna,No,Reciprocating,Reciprocating,Skydiving,0,0,0,1,vmc,Unknown,A loss of engine power for reasons that could not be determined because no anomalies were found during the postaccident engine examination.,2013,cessna
Accident,21/07/1988,"GREENLAND, NH",United States,Non-Fatal,Substantial,N20973,Waco,waco,No,Reciprocating,Reciprocating,Personal,0,0,0,3,vmc,Takeoff,Probable Cause,1988,waco
Accident,30/01/2005,"PRINEVILLE, OR",United States,Non-Fatal,Substantial,N53719,Bellanca,bellanca,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Landing,Probable Cause,2005,bellanca
Accident,06/03/2002,"BUNNELL, FL",United States,Fatal(2),Substantial,N75908,Cessna,cessna,No,Reciprocating,Reciprocating,Other Work Use,2,0,0,0,vmc,Approach,Probable Cause,2002,cessna
Accident,12/10/2014,"Punta Cana, Las Americas",Dominican Republic,Unknown,Substantial,HI-816,BAE,bae,No,Unknown,Unknown,Unknown,0,0,0,0,UNK,Unknown,Unknown,2014,bae
Accident,19/04/2010,"Madison, IN",United States,Fatal,Destroyed,N5425P,PIPER,piper,No,Reciprocating,Reciprocating,Personal,1,0,0,0,vmc,Unknown,"The pilots failure to maintain control of the airplane. Contributing to the accident was the pilots decision to conduct the flight with known physiological impairment and his use of unapproved sedating medication, both of which likely impaired his ability to operate the airplane.",2010,piper
Accident,02/12/2003,"HOLBROOK, NY",United States,Non-Fatal,Substantial,N238CZ,Russell,russell,Yes,Reciprocating,Reciprocating,Personal,0,0,1,0,vmc,Approach,Probable Cause,2003,russell
Accident,25/02/2001,"NEWBERG, OR",United States,Non-Fatal,Substantial,N230VG,Gibbs,gibbs,Yes,Reciprocating,Reciprocating,Personal,0,0,0,5,vmc,Approach,Probable Cause,2001,gibbs
Accident,09/11/2020,"Mesa, AZ",United States,Non-Fatal,Substantial,N4117H,Diamond,diamond,No,Reciprocating,Reciprocating,Instructional,0,0,0,1,vmc,Unknown,The pilots failure to maintain clearance with a vehicle while taxiing. ,2020,diamond
Accident,19/01/1996,"FORT PIERCE, FL",United States,Fatal(1),Substantial,N114AV,Piper,piper,No,Reciprocating,Reciprocating,Personal,1,2,0,0,vmc,Takeoff,Probable Cause,1996,piper
Incident,11/05/1984,"UNALASKA, AK",United States,Incident,Minor,N146AP,British Aerospace,british aerospace,No,Turbo Fan,Turbo Fan,Unknown,0,0,0,7,vmc,Landing,Probable Cause,1984,british aerospace
Accident,19/09/2016,"Miranda, Brazil",Brazil,Fatal,Destroyed,PT-VKY,EMBRAER,embraer,No,Reciprocating,Reciprocating,Unknown,1,0,0,0,UNK,Unknown,Unknown,2016,embraer
Accident,14/06/2012,"Erie, CO",United States,Non-Fatal,Substantial,N617EV,Evektor-Aerotechnik AS,evektor-aerotechnik as,No,Reciprocating,Reciprocating,Instructional,0,2,0,0,vmc,Unknown,"The student pilots improper performance of a soft field takeoff procedure, which resulted in a loss of airplane control, and the flight instructors delayed remedial action to correct the situation.",2012,evektor-aerotechnik as
Accident,02/07/1997,"PENOBSCOT, ME",United States,Fatal(4),Destroyed,N3896T,Piper,piper,No,Reciprocating,Reciprocating,Personal,4,0,0,0,imc,Cruise,Probable Cause,1997,piper
Accident,11/07/2007,"MERCEDES, TX",United States,Non-Fatal,Substantial,N7878,Bell,bell,No,Reciprocating,Reciprocating,Aerial Application,0,0,1,0,vmc,Maneuvering,Probable Cause,2007,bell
Accident,16/12/1996,"CHARLESTON, WV",United States,Non-Fatal,Destroyed,N6937X,Cessna,cessna,No,Reciprocating,Reciprocating,Business,0,1,0,0,vmc,Cruise,Probable Cause,1996,cessna
Accident,25/01/1997,"CLERMONT, FL",United States,Non-Fatal,Substantial,N233HH,Schweizer,schweizer,No,Unknown,Unknown,Personal,0,0,1,0,vmc,Approach,Probable Cause,1997,schweizer
Accident,23/03/1992,"PORT ALSWORTH, AK",United States,Non-Fatal,Substantial,N1469H,Aeronca,aeronca,No,Reciprocating,Reciprocating,Personal,0,0,2,0,vmc,Maneuvering,Probable Cause,1992,aeronca
Accident,01/08/2008,"Peachtree City, GA",United States,Non-Fatal,Substantial,N227RD,DIAMOND,diamond,No,Reciprocating,Reciprocating,Flight Test,0,2,0,0,vmc,Unknown,A partial loss of engine power for undetermined reasons.,2008,diamond
Incident,10/01/2018,"London, United Kingdom",United Kingdom,Unknown,Minor,9H-BBJ,BOEING,boeing,No,Unknown,Unknown,Unknown,0,0,0,0,UNK,Unknown,Unknown,2018,boeing
Accident,10/11/2015,"Guarda-Mor, Brazil",Brazil,Fatal,Destroyed,PT-WQH,CESSNA,cessna,No,Turbo Fan,Turbo Fan,Unknown,4,0,0,0,UNK,Unknown,Unknown,2015,cessna
Accident,04/07/1987,"MITCHELL, SD",United States,Fatal(1),Destroyed,N6933V,Mooney,mooney,No,Reciprocating,Reciprocating,Personal,1,0,0,0,vmc,Approach,Probable Cause,1987,mooney
Accident,09/12/1990,"BOERNE, TX",United States,Non-Fatal,Substantial,N61080,Taylorcraft,taylorcraft,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Takeoff,Probable Cause,1990,taylorcraft
Accident,08/12/1990,"SENOIA, GA",United States,Non-Fatal,Substantial,N5003T,Piper,piper,No,Reciprocating,Reciprocating,Business,0,0,0,2,vmc,Cruise,Probable Cause,1990,piper
Accident,27/02/1987,"ROOSEVELT, AZ",United States,Non-Fatal,Substantial,N7572F,Champion,champion,No,Reciprocating,Reciprocating,Personal,0,0,1,1,vmc,Landing,Probable Cause,1987,champion
Accident,14/06/1985,"BROWNSVILLE, TX",United States,Non-Fatal,Substantial,N23692,Air Tractor,air tractor,No,Reciprocating,Reciprocating,Aerial Application,0,1,0,0,vmc,Maneuvering,Probable Cause,1985,air tractor
Incident,28/04/2018,"Perth, Australia",Australia,Unknown,Unknown,VH-XZM,BOEING,boeing,No,Unknown,Unknown,Unknown,0,0,0,0,UNK,Unknown,Unknown,2018,boeing
Accident,05/03/2017,"Matsumoto, Japan",Japan,Fatal,Substantial,JA97NA,BELL,bell,No,Unknown,Unknown,Unknown,9,0,0,0,UNK,Unknown,Unknown,2017,bell
Accident,03/05/1991,"ORTING, WA",United States,Non-Fatal,Substantial,N2450J,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Landing,Probable Cause,1991,cessna
Accident,07/11/2008,"Martinsville, VA",United States,Fatal,Substantial,N8LK,MILLER J KIRTLEY,miller j kirtley,Yes,Reciprocating,Reciprocating,Personal,1,0,0,0,vmc,Unknown,The pilot's failure to maintain aircraft control during the initial climb after an aborted landing. Contributing to the accident was the pilot's impairment from an over-the-counter sedating antihistamine.,2008,miller j kirtley
Accident,16/11/2013,"Anahuac, TX",United States,Fatal,Destroyed,N975DF,PEARSON JON M,pearson jon m,Yes,Reciprocating,Reciprocating,Personal,1,0,0,0,vmc,Unknown,"The incorrect installation by the pilot, who was not a certificated mechanic or repairman, of the main rotor head bearing block, which resulted in the in-flight separation of the rotor head. ",2013,pearson jon m
Accident,07/12/1998,"N. LITTLE ROCK, AR",United States,Non-Fatal,Substantial,N900PD,Bell,bell,No,Turbo Shaft,Turbo Shaft,Public Aircraft,0,0,0,2,vmc,Maneuvering,Probable Cause,1998,bell
Accident,31/12/1992,"HERLONG, CA",United States,Fatal(2),Destroyed,N300CP,Rockwell,rockwell,No,Turbo Prop,Turbo Prop,Unknown,2,0,0,0,vmc,Descent,Probable Cause,1992,rockwell
Accident,27/05/2002,"VANCOUVER, WA",United States,Non-Fatal,Substantial,N26221,Grumman American,grumman american,No,Reciprocating,Reciprocating,Personal,0,0,0,3,vmc,Landing,Probable Cause,2002,grumman american
Accident,28/07/2010,"Tucson, AZ",United States,Fatal,Substantial,N509AM,AMERICAN EUROCOPTER LLC,american eurocopter llc,No,Unknown,Unknown,Positioning,3,0,0,0,vmc,Unknown,"The repair station technician did not properly install the fuel inlet union during reassembly of the engine; the operators maintenance personnel did not adequately inspect the technician's work; and the pilot who performed the post maintenance check flight did not follow the helicopter manufacturer's procedures. Also causal were the lack of requirements by the Federal Aviation Administration, the operator, and the repair station for an independent inspection of the work performed by the technician. A contributing factor was the inadequate oversight of the repair station by the Federal Aviation Administration, which resulted in the repair station performing recurring maintenance at the operators facilities without authorization.",2010,american eurocopter llc
Accident,04/03/1998,"HAVERHILL, MA",United States,Non-Fatal,Destroyed,N63387,Cessna,cessna,No,Reciprocating,Reciprocating,Instructional,0,0,1,1,vmc,Cruise,Probable Cause,1998,cessna
Accident,18/09/1985,"CHUATHBALUK, AK",United States,Non-Fatal,Substantial,N91157,Cessna,cessna,No,Reciprocating,Reciprocating,Positioning,0,0,0,1,vmc,Cruise,Probable Cause,1985,cessna
Accident,22/03/2004,"TALKEETNA, AK",United States,Non-Fatal,Substantial,N2472F,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,0,3,vmc,Takeoff,Probable Cause,2004,cessna
Accident,01/07/1983,"ENID, OK",United States,Fatal(2),Destroyed,N23684,Beech,beech,No,Reciprocating,Reciprocating,Personal,2,0,0,0,vmc,Approach,Probable Cause,1983,beech
Accident,16/05/1983,"BURNS, WY",United States,Fatal(1),Destroyed,N33066,Piper,piper,No,Reciprocating,Reciprocating,Business,1,0,0,0,imc,Cruise,Probable Cause,1983,piper
Accident,07/12/2011,"Waipahu, HI",United States,Non-Fatal,Substantial,N817AB,ROBINSON HELICOPTER,robinson helicopter,No,Reciprocating,Reciprocating,Instructional,0,0,0,2,vmc,Unknown,The certified flight instructor's delayed remedial action and inadequate supervision during a practice autorotation. Contributing to the accident was the student pilot's excessive application of the throttle.,2011,robinson helicopter
Accident,27/09/1984,"HARRISBURG, PA",United States,Non-Fatal,Substantial,N2053N,Cessna,cessna,No,Reciprocating,Reciprocating,Instructional,0,0,0,3,vmc,Landing,Probable Cause,1984,cessna
Accident,07/05/2010,"Mendon, UT",United States,Non-Fatal,Substantial,N393LE,ROBINSON HELICOPTER,robinson helicopter,No,Reciprocating,Reciprocating,Instructional,0,0,0,2,vmc,Unknown,A loss of engine power due to a failure of the magnetos as a result of inadequate maintenance.,2010,robinson helicopter
Accident,17/09/1996,"FRESNO, CA",United States,Non-Fatal,Substantial,N94381,Cessna,cessna,No,Reciprocating,Reciprocating,Instructional,0,0,0,1,vmc,Climb,Probable Cause,1996,cessna
Accident,03/02/2008,"Elkin, NC",United States,Fatal,Substantial,N580RG,KAYLOR J E/STRAHLMANN R L,kaylor j e/strahlmann r l,Yes,Reciprocating,Reciprocating,Personal,1,0,0,0,vmc,Unknown,The pilot's decision to attempt an aerobatic maneuver in close proximity to the ground.,2008,kaylor j e/strahlmann r l
Accident,25/04/1992,"RENO, NV",United States,Fatal(3),Destroyed,N3121V,Beech,beech,No,Reciprocating,Reciprocating,Personal,3,0,0,0,vmc,Approach,Probable Cause,1992,beech
Accident,26/03/2008,"Bridger, MT",United States,Non-Fatal,Substantial,N432RM,PIPER,piper,No,Reciprocating,Reciprocating,Instructional,0,1,0,0,vmc,Unknown,"The pilot failed to maintain situational awareness during the flight. Contributing to the accident were the dark night, the pilot's failure to follow approved navigational procedures for the flight, and the pilot's over reliance on the avionics in the airplane.",2008,piper
Accident,03/07/2009,"Homer, AK",United States,Non-Fatal,Substantial,N4299Z,PIPER,piper,No,Reciprocating,Reciprocating,Personal,0,0,0,1,vmc,Unknown,"The pilot's excessive airspeed during approach to compensate for turbulence, resulting in a hard landing and runway overrun.",2009,piper
Accident,31/03/2008,"Lencois, Bahia, Brazil",Brazil,Fatal,Destroyed,PT-VCI,Neiva,neiva,No,Unknown,Unknown,Unknown,2,0,0,0,imc,Unknown,Unknown,2008,neiva
Accident,22/03/2022,"Howe, ID",United States,Minor,Substantial,N44DQ,ROBINSON HELICOPTER COMPANY,robinson helicopter company,No,Reciprocating,Reciprocating,Personal,0,2,0,1,vmc,Unknown,"The pilots failure to maintain adequate rotor rpm while descending with a gusting tailwind condition, which resulted in a loss of helicopter control.",2022,robinson helicopter company
Accident,12/06/1983,"QUINHAGAK, AK",United States,Non-Fatal,Substantial,N15400,Piper,piper,No,Reciprocating,Reciprocating,Unknown,0,0,0,2,vmc,Takeoff,Probable Cause,1983,piper
Accident,08/07/2020,"Port Orchard, WA",United States,Non-Fatal,Substantial,N22393,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,1,0,vmc,Unknown,Unknown,2020,cessna
Accident,06/04/1985,"QUARTZSITE, AZ",United States,Non-Fatal,Substantial,N66MG,Cessna,cessna,No,Reciprocating,Reciprocating,Personal,0,0,0,2,vmc,Landing,Probable Cause,1985,cessna
